"Lemma","URL","Wortart","Genus","Artikel","nur_im_Plural"
"abschließen","https://www.dwds.de/wb/abschlie%C3%9Fen","Verb","","","0"
"Ahnung","https://www.dwds.de/wb/Ahnung","Substantiv","fem.","die","0"
"aktiv","https://www.dwds.de/wb/aktiv","Adjektiv","","","0"
"aktuell","https://www.dwds.de/wb/aktuell","Adjektiv","","","0"
"als","https://www.dwds.de/wb/als","Konjunktion","","","0"
"Ampel","https://www.dwds.de/wb/Ampel","Substantiv","fem.","die","0"
"anders","https://www.dwds.de/wb/anders","Adverb","","","0"
"Angst","https://www.dwds.de/wb/Angst","Substantiv","fem.","die","0"
"ansehen","https://www.dwds.de/wb/ansehen","Verb","","","0"
"Anzug","https://www.dwds.de/wb/Anzug","Substantiv","mask.","der","0"
"Apotheke","https://www.dwds.de/wb/Apotheke","Substantiv","fem.","die","0"
"Apparat","https://www.dwds.de/wb/Apparat","Substantiv","mask.","der","0"
"arm","https://www.dwds.de/wb/arm","Adjektiv","","","0"
"Artikel","https://www.dwds.de/wb/Artikel","Substantiv","mask.","der","0"
"auf jeden Fall","https://www.dwds.de/wb/auf%20jeden%20Fall","Mehrwortausdruck","","","0"
"auf keinen Fall","https://www.dwds.de/wb/auf%20keinen%20Fall","Mehrwortausdruck","","","0"
"aufmachen","https://www.dwds.de/wb/aufmachen","Verb","","","0"
"aufpassen","https://www.dwds.de/wb/aufpassen","Verb","","","0"
"aufregen","https://www.dwds.de/wb/aufregen","Verb","","","0"
"aufräumen","https://www.dwds.de/wb/aufr%C3%A4umen","Verb","","","0"
"Ausbildung","https://www.dwds.de/wb/Ausbildung","Substantiv","fem.","die","0"
"ausgeben","https://www.dwds.de/wb/ausgeben","Verb","","","0"
"ausgehen","https://www.dwds.de/wb/ausgehen","Verb","","","0"
"auspacken","https://www.dwds.de/wb/auspacken","Verb","","","0"
"ausruhen","https://www.dwds.de/wb/ausruhen","Verb","","","0"
"aussprechen","https://www.dwds.de/wb/aussprechen","Verb","","","0"
"Ausstellung","https://www.dwds.de/wb/Ausstellung","Substantiv","fem.","die","0"
"austauschen","https://www.dwds.de/wb/austauschen","Verb","","","0"
"austragen","https://www.dwds.de/wb/austragen","Verb","","","0"
"außer","https://www.dwds.de/wb/au%C3%9Fer#1","Präposition","","","0"
"außerdem","https://www.dwds.de/wb/au%C3%9Ferdem","Adverb","","","0"
"außerhalb","https://www.dwds.de/wb/au%C3%9Ferhalb#2","Adverb","","","0"
"Babysitter","https://www.dwds.de/wb/Babysitter","Substantiv","mask.","der","0"
"backen","https://www.dwds.de/wb/backen#1","Verb","","","0"
"Ball","https://www.dwds.de/wb/Ball#1","Substantiv","mask.","der","0"
"Band","https://www.dwds.de/wb/Band#3","Substantiv","fem.","die","0"
"Basketball","https://www.dwds.de/wb/Basketball","Substantiv","mask., neutr.","der","0"
"basteln","https://www.dwds.de/wb/basteln","Verb","","","0"
"bauen","https://www.dwds.de/wb/bauen#1","Verb","","","0"
"Baustelle","https://www.dwds.de/wb/Baustelle","Substantiv","fem.","die","0"
"beantworten","https://www.dwds.de/wb/beantworten","Verb","","","0"
"bedanken","https://www.dwds.de/wb/bedanken","Verb","","","0"
"beeilen","https://www.dwds.de/wb/beeilen","Verb","","","0"
"beenden","https://www.dwds.de/wb/beenden","Verb","","","0"
"begründen","https://www.dwds.de/wb/begr%C3%BCnden","Verb","","","0"
"beliebt","https://www.dwds.de/wb/beliebt","partizipiales Adjektiv","","","0"
"bequem","https://www.dwds.de/wb/bequem","Adjektiv","","","0"
"beraten","https://www.dwds.de/wb/beraten","Verb","","","0"
"Berg","https://www.dwds.de/wb/Berg","Substantiv","mask.","der","0"
"berichten","https://www.dwds.de/wb/berichten","Verb","","","0"
"berühmt","https://www.dwds.de/wb/ber%C3%BChmt","partizipiales Adjektiv","","","0"
"Bescheid","https://www.dwds.de/wb/Bescheid","Substantiv","mask.","der","0"
"beschreiben","https://www.dwds.de/wb/beschreiben","Verb","","","0"
"beschweren","https://www.dwds.de/wb/beschweren#2","Verb","","","0"
"besonders","https://www.dwds.de/wb/besonders","Adverb","","","0"
"bestehen","https://www.dwds.de/wb/bestehen","Verb","","","0"
"bestätigen","https://www.dwds.de/wb/best%C3%A4tigen","Verb","","","0"
"Besuch","https://www.dwds.de/wb/Besuch","Substantiv","mask.","der","0"
"besucht","https://www.dwds.de/wb/besucht","partizipiales Adjektiv","","","0"
"bewerben","https://www.dwds.de/wb/bewerben","Verb","","","0"
"Bewerbung","https://www.dwds.de/wb/Bewerbung","Substantiv","fem.","die","0"
"bewölkt","https://www.dwds.de/wb/bew%C3%B6lkt","partizipiales Adjektiv","","","0"
"Bibliothek","https://www.dwds.de/wb/Bibliothek","Substantiv","fem.","die","0"
"Blatt","https://www.dwds.de/wb/Blatt","Substantiv","neutr.","das","0"
"Blog","https://www.dwds.de/wb/Blog","Substantiv","neutr., mask.","das, der","0"
"blond","https://www.dwds.de/wb/blond","Adjektiv","","","0"
