Lemma,URL,Wortart,Genus,Artikel,nur_im_Plural
-weis,https://www.dwds.de/wb/-weis,Affix,,,0
-weise,https://www.dwds.de/wb/-weise,Affix,,,0
abbiegen,https://www.dwds.de/wb/abbiegen,Verb,,,0
Abbildung,https://www.dwds.de/wb/Abbildung,Substantiv,fem.,die,0
Abenteuer,https://www.dwds.de/wb/Abenteuer,Substantiv,neutr.,das,0
Abfall,https://www.dwds.de/wb/Abfall,Substantiv,mask.,der,0
Abfalleimer,https://www.dwds.de/wb/Abfalleimer,Substantiv,mask.,der,0
Abgas,https://www.dwds.de/wb/Abgas,Substantiv,neutr.,das,0
abhangen,https://www.dwds.de/wb/abhangen,Verb,,,0
abheben,https://www.dwds.de/wb/abheben,Verb,,,0
abhängen,https://www.dwds.de/wb/abh%C3%A4ngen#1,Verb,,,0
abhängig,https://www.dwds.de/wb/abh%C3%A4ngig,Adjektiv,,,0
Abitur,https://www.dwds.de/wb/Abitur,Substantiv,neutr.,das,0
ablehnen,https://www.dwds.de/wb/ablehnen,Verb,,,0
abmachen,https://www.dwds.de/wb/abmachen,Verb,,,0
abnehmen,https://www.dwds.de/wb/abnehmen,Verb,,,0
Abonnement,https://www.dwds.de/wb/Abonnement,Substantiv,neutr.,das,0
abonnieren,https://www.dwds.de/wb/abonnieren,Verb,,,0
absagen,https://www.dwds.de/wb/absagen,Verb,,,0
Abschied,https://www.dwds.de/wb/Abschied,Substantiv,mask.,der,0
Abschluss,https://www.dwds.de/wb/Abschluss,Substantiv,mask.,der,0
Abschnitt,https://www.dwds.de/wb/Abschnitt,Substantiv,mask.,der,0
abschreiben,https://www.dwds.de/wb/abschreiben,Verb,,,0
Absenderin,https://www.dwds.de/wb/Absenderin,Substantiv,fem.,die,0
absolut,https://www.dwds.de/wb/absolut#1,Adjektiv,,,0
abstimmen,https://www.dwds.de/wb/abstimmen,Verb,,,0
Abt,https://www.dwds.de/wb/Abt,Substantiv,mask.,der,0
Abteilung,https://www.dwds.de/wb/Abteilung,Substantiv,fem.,die,0
Abwart,https://www.dwds.de/wb/Abwart,Substantiv,mask.,der,0
Abwartin,https://www.dwds.de/wb/Abwartin,Substantiv,fem.,die,0
abwaschen,https://www.dwds.de/wb/abwaschen,Verb,,,0
abwesend,https://www.dwds.de/wb/abwesend,Adjektiv,,,0
