lemma,Artikel,Plural,Präteritum,Hilfsverb,PartizipII,plus
Abbau,der,Sg.,,,,
abbauen,,,,,,
abbrechen,,,brach ab,hat,abgebrochen,
abenteuerlich,,,,,,
Abenteuerlust,die,Sg.,,,,
Abfahrt,die,-en,,,,
abgeben,,,gab ab,hat,abgegeben,
abgeschlossen,,,,,,
abgesehen,,,,,,von plus Dat
abgesehen,,,,,,
abgrenzen,,,,,,
Abhängigkeit,die,-en,,,,
ablaufen,,,lief ab,ist,abgelaufen,
ablegen,,,,,,
ablegen,,,,,,
ablegen,,,,,,
ableiten,,,,,,von plus Dat
abriegeln,,,,,,
Absage,die,-n,,,,
Abschiedsszene,die,-n,,,,
abschreiben,,,schreib ab,hat,abgeschrieben,
abschwächen,,,,,,
absolvieren,,,,,,
Absperrung,die,-en,,,,
Absprache,die,-n,,,,
Abstammung,die,-en,,,,
Abstand,der,"""-e",,,,
abstrakt,,,,,,
Abteil,das,-e,,,,
abwägen,,,,,,
abweichen,,,,,,von plus Dat
Acht,die,Sg.,,,,
aggressiv,,,,,,
ähneln,,,,,,
Akademie,die,-n,,,,
akustisch,,,,,,
akut,,,,,,
alkoholfrei,,,,,,
Alleinernährer/in,der/die,-/-nen,,,,
Allesfresser/in,der/die,-/-nen,,,,
Alltagsprodukt,das,-e,,,,
Alltagssprache,die,Sg.,,,,
Alltagsszene,die,-n,,,,
allzu,,,,,,
Alzheimer,der,Sg.,,,,
Amateur-Boxer/in,der/die,-/-nen,,,,
Ampelprinzip,das,Sg.,,,,
Amt,das,"""-er",,,,
amtlich,,,,,,
Amtsinhaber/in,der/die,-/-nen,,,,
Amtssprache,die,-n,,,,
an sich,,,,,,
Analogie,die,-n,,,,
analytisch,,,,,,
Anbau,der,Sg.,,,,
anbringen,,,brachte an,hat,angebracht,
andernfalls,,,,,,
andeuten,,,,,,
anerkannt,,,,,,bei plus Dat / in plus Dat
anerkennen,,,erkannte an,hat,anerkannt,
anerkennend,,,,,,
Anfang,der,"""-e",,,,
Anforderung,die,-en,,,,
anfügen,,,,,,
anfühlen,,,,,,
Angebotserstellung,die,-en,,,,
angehen,,,ging an,ist,angegangen,
Angel,die,-n,,,,
angelehnt,,,,,,an plus Akk
angemessen,,,,,,
angesichts,,,,,,
angestellt,,,,,,
angewiesen sein,,auf plus Akk,,,,
Angewohnheit,die,-en,,,,
Angriff,der,-e,,,,
ängstigen,,,,,,
Angstreaktion,die,-en,,,,
anhören,,,,,,
ankaufen,,,,,,
anknüpfen,,,,,,an plus Akk
ankündigen,,,,,,
Ankunftsabend,der,-e,,,,
Anlage,die,-n,,,,
Anlass,der,"""-e",,,,
anlässlich,,,,,,
anlegen,,,,,,
anmelden,,,,,,
annehmen,,,nahm an,hat,angenommen,
annehmen,,,nahm an,hat,angenommen,
annehmen,,,nahm an,hat,angenommen,
Anonymität,die,Sg.,,,,
anormal,,,,,,
anpassen,,,,,,an plus Akk
Anprobe,die,-n,,,,
Anrufer/in,der/die,-/-nen,,,,
anschließen,,,,,,
Anschluss,der,"""-e",,,,
Anschreiben,das,-,,,,
Anschrift,die,-en,,,,
Ansehen,das,Sg.,,,,
ansiedeln,,,,,,in plus Dat
ansprechen,,,sprach an,hat,angesprochen,
anspruchsvoll,,,,,,
anstehen,,,stand an,hat,angestanden,
anstellen,,,,,,
Antike,die,Sg.,,,,
antreten,,,trat an,hat,angetreten,
App,die,-s,,,,
Arbeitsatmosphäre,die,-n,,,,
Arbeitsbedingungen,die,Pl.,,,,
Arbeitschance,die,-n,,,,
Arbeitserlaubnis,die,-se,,,,
arbeitsfrei,,,,,,
