Lemma,Artikel,Plural,Präsens,Präteritum,Hilfsverb,Partizip
ab,,,,,,
abarbeiten,,,arbeitet ab,arbeitete ab,hat,abgearbeitet
abarbeiten,,,arbeitet ab,arbeitete ab,hat,abgearbeitet
abartig,,,,,,
Abbau,der,-e,,,,
abbauen,,,baut ab,baute ab,hat,abgebaut
abbrechen,,,bricht ab,brach ab,hat,abgebrochen
abdecken,,,deckt ab,deckte ab,hat,abgedeckt
abgeben,,,gibt ab,gab ab,hat,abgegeben
abgelegen,,,,,,
abgelenkt,,,,,,
abgeschlossen,,,,,,
abgestorben,,,,,,
abheben,,,hebt ab,hob ab,hat,abgehoben
abknabbern,,,knabbert ab,knabberte ab,hat,abgeknabbert
ablaufen,,,läuft ab,lief ab,ist,abgelaufen
ablegen,,,legt ab,legte ab,hat,abgelegt
ableiten,,,leitet ab,leitete ab,hat,abgeleitet
ablenken,,,lenkt ab,lenkte ab,hat,abgelenkt
Ablenkung,die,-en,,,,
ablesen,,,liest ab,las ab,hat,abgelesen
abnehmen,,,nimmt ab,nahm ab,hat,abgenommen
Abonnent,der,-en,,,,
abraten,,,rät ab,riet ab,hat,abgeraten
abrufen,,,ruft ab,rief ab,hat,abgerufen
abrufen,,,ruft ab,rief ab,hat,abgerufen
Absatz,der,ä-e,,,,
Absatz,der,ä-e,,,,
Absatzmarkt,der,ä-e,,,,
abschaffen,,,schafft ab,schaffte ab,hat,abgeschafft
abschalten,,,schaltet ab,schaltete ab,hat,abgeschaltet
abschließen,,,schließt ab,schloss ab,hat,abgeschlossen
abschneiden,,,schneidet ab,schnitt ab,hat,abgeschnitten
abschrecken,,,schreckt ab,schreckte ab,hat,abgeschreckt
Abschwung,der,ü-e,,,,
absetzen,,,setzt ab,setzte ab,hat,abgesetzt
Absolvent,der,-en,,,,
absolvieren,,,absolviert,absolvierte,hat,absolviert
abspeichern,,,speichert ab,speicherte ab,hat,abgespeichert
abspielen,,,spielt ab,spielte ab,hat,abgespielt
absprechen,,,spricht ab,sprach ab,hat,abgesprochen
Abstand,der,ä-e,,,,
abstellen,,,stellt ab,stellte ab,hat,abgestellt
abstrakt,,,,,,
abstreifen,,,streift ab,streifte ab,hat,abgestreift
abverlangen,,,verlangt ab,verlangte ab,hat,abverlangt
abwägen,,,wägt ab,wog ab,hat,abgewogen
abwaschbar,,,,,,
abwechseln,,,wechselt ab,wechselte ab,hat,abgewechselt
Abwechslung,die,-en,,,,
abwechslungsreich,,,,,,
Abwehrstrategie,die,-n,,,,
abweichen,,,weicht ab,wich ab,ist,abgewichen
Abweichung,die,-en,,,,
achtsam,,,,,,
Agent,der,-en,,,,
Ägyptologe,der,-n,,,,
Ägyptologie,die,,,,,
ahnen,,,ahnt,ahnte,hat,geahnt
Ähnlichkeit,die,-en,,,,
Airbag,der,-s,,,,
Akademiker,der,-,,,,
akademisch,,,,,,
akribisch,,,,,,
Aktie,die,-n,,,,
Aktienkurs,der,-e,,,,
Aktualität,die,,,,,
Alarm,der,-e,,,,
Alarmanlage,die,-n,,,,
alarmieren,,,alarmiert,alarmierte,hat,alarmiert
Alleinstellungsmerkmal,das,-e,,,,
allererst,,,,,,
allermeist,,,,,,
Alltagsforschung,die,,,,,
allumfassend,,,,,,
Altbauwohnung,die,-en,,,,
altbewährt,,,,,,
altersgemischt,,,,,,
Alzheimer,der,,,,,
Amateurfußballer,der,-,,,,
Amok,der,,,,,
analytisch,,,,,,
Anbau,der,-ten,,,,
anbauen,,,baut an,baute an,hat,angebaut
Anbetracht,der,,,,,
anbringen,,,bringt an,brachte an,hat,angebracht
anderswo,,,,,,
anderweitig,,,,,,
Andrang,der,,,,,
Androhung,die,-en,,,,
aneignen,,,eignet an,eignete an,hat,angeeignet
Aneignung,die,,,,,
Anekdote,die,-n,,,,
anerkannt,,,,,,
anerkennenswert,,,,,,
Anerkennung,die,,,,,
anfallen,,,fällt an,fiel an,ist,angefallen
Anfangsbegeisterung,die,,,,,
Anfangspunkt,der,-e,,,,
anfertigen,,,fertigt an,fertigte an,hat,angefertigt
anfordern,,,fordert an,forderte an,hat,angefordert
Anforderung,die,-en,,,,
anfühlen,,,fühlt an,fühlte an,hat,angefühlt
anführen,,,führt an,führte an,hat,angeführt
angeben,,,gibt an,gab an,hat,angegeben
Angeber,der,-,,,,
angeboren,,,,,,
angehören,,,gehört an,gehörte an,hat,angehört
Angelegenheit,die,-en,,,,
angemessen,,,,,,
angerannt,,,,,,
angesehen,,,,,,
angetan,,,,,,
angewiesen,,,,,,
Anglist,der,-en,,,,
Anglistik,die,,,,,
angreifen,,,greift an,griff an,hat,angegriffen
Angreifer,der,-,,,,
Angriff,der,-e,,,,
anheimfallen,,,fällt anheim,fiel anheim,ist,anheimgefallen
Anhieb,der,,,,,
anhören,,,hört an,hörte an,hat,angehört
anketten,,,kettet an,kettete an,hat,angekettet
Anklang,der,,,,,
anklingen,,,klingt an,klang an,hat,angeklungen
Anlage,die,-n,,,,
Anlauf,der,ä-e,,,,
anlegen,,,legt an,legte an,hat,angelegt
anlehnen,,,lehnt an,lehnte an,hat,angelehnt
anmahnen,,,mahnt an,mahnte an,hat,angemahnt
anmalen,,,malt an,malte an,hat,angemalt
anmelden,,,meldet an,meldete an,hat,angemeldet
anmuten,,,mutet an,mutete an,hat,angemutet
Annahme,die,-n,,,,
annehmen,,,nimmt an,nahm an,hat,angenommen
anonym,,,,,,
anordnen,,,ordnet an,ordnete an,hat,angeordnet
anpacken,,,packt an,packte an,hat,angepackt
anregend,,,,,,
Anreiz,der,-e,,,,
Anschaffung,die,-en,,,,
Anschluss,der,ü-e,,,,
Ansicht,die,-en,,,,
ansiedeln,,,siedelt an,siedelte an,hat,angesiedelt
ansonsten,,,,,,
ansprechen,,,spricht an,sprach an,hat,angesprochen
anständig,,,,,,
anstecken,,,steckt an,steckte an,hat,angesteckt
ansteigen,,,steigt an,stieg an,ist,angestiegen
anstelle,,,,,,
anstellen,,,stellt an,stellte an,hat,angestellt
anstreben,,,strebt an,strebte an,hat,angestrebt
Anstrengung,die,-en,,,,
Anteil,der,-e,,,,
Antike,die,,,,,
Antrieb,der,-e,,,,
Anweisung,die,-en,,,,
Anwendung,die,-en,,,,
Anzeichen,das,-,,,,
Anzeige,die,-n,,,,
Apfelkern,der,-e,,,,
Arbeitnehmende,der/die,-n,,,,
Arbeitsablauf,der,ä-e,,,,
Arbeitsergebnis,das,-se,,,,
Arbeitsform,die,-en,,,,
arbeitsintensiv,,,,,,
Arbeitsklima,das,,,,,
Arbeitskollege,der,-n,,,,
Arbeitskraft,die,ä-e,,,,
Arbeitsleben,das,,,,,
Arbeitslosenquote,die,-n,,,,
Arbeitsmarkt,der,ä-e,,,,
Arbeitsplatzmodell,das,-e,,,,
Arbeitsraum,der,ä-e,,,,
arbeitsunfähig,,,,,,
Arbeitsverhältnis,das,-se,,,,
Arbeitsvertrag,der,ä-e,,,,
Arbeitsweise,die,-n,,,,
Arbeitszimmer,das,-,,,,
archaisch,,,,,,
Architekturstudium,das,-studien,,,,
Areal,das,-e,,,,
Argument,das,-e,,,,
Argumentation,die,-en,,,,
Arzneimittel,das,-,,,,
Ärztemangel,der,,,,,
Arzttermin,der,-e,,,,
Asche,die,,,,,
Assessment Center,das,-,,,,
Assistent,der,-en,,,,
atemberaubend,,,,,,
Attacke,die,-n,,,,
attackieren,,,attackiert,attackierte,hat,attackiert
Au-pair-Mädchen,das,-,,,,
Aufbau,der,,,,,
aufbessern,,,bessert auf,besserte auf,hat,aufgebessert
aufbewahren,,,bewahrt auf,bewahrte auf,hat,aufbewahrt
aufbringen,,,bringt auf,brachte auf,hat,aufgebracht
